DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2013-08,97.1,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2013-09,98.0,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2013-10,96.9,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2013-11,97.7,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2013-12,96.7,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2014-01,98.6,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2014-02,98.6,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2014-03,97.1,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2014-04,97.9,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2014-05,96.0,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2014-06,100.8,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2014-07,97.4,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2014-08,96.2,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2014-09,97.8,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2014-10,96.8,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2014-11,96.4,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2014-12,99.4,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2015-01,99.1,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2015-02,99.3,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2015-03,100.1,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2015-04,99.2,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2015-05,99.6,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2015-06,100.6,
